mode,fold_id,model,sample_id,subject,session,run,trial,y_true,y_pred
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t27,1,1test,3,27,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t30,1,1test,3,30,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t31,1,1test,3,31,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t32,1,1test,3,32,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t34,1,1test,3,34,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t35,1,1test,3,35,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t37,1,1test,3,37,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t38,1,1test,3,38,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t40,1,1test,3,40,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t46,1,1test,3,46,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t47,1,1test,3,47,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r3_t48,1,1test,3,48,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t01,1,1test,4,1,2,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t02,1,1test,4,2,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t03,1,1test,4,3,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t06,1,1test,4,6,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t09,1,1test,4,9,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t11,1,1test,4,11,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t12,1,1test,4,12,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t13,1,1test,4,13,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t16,1,1test,4,16,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t22,1,1test,4,22,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t23,1,1test,4,23,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t25,1,1test,4,25,1,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t26,1,1test,4,26,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t27,1,1test,4,27,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t28,1,1test,4,28,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t31,1,1test,4,31,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t33,1,1test,4,33,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t35,1,1test,4,35,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t37,1,1test,4,37,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t39,1,1test,4,39,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t40,1,1test,4,40,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t44,1,1test,4,44,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t45,1,1test,4,45,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r4_t47,1,1test,4,47,2,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t02,1,1test,5,2,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t04,1,1test,5,4,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t06,1,1test,5,6,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t07,1,1test,5,7,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t10,1,1test,5,10,2,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t12,1,1test,5,12,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t13,1,1test,5,13,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t14,1,1test,5,14,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t15,1,1test,5,15,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t18,1,1test,5,18,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t19,1,1test,5,19,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t20,1,1test,5,20,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t21,1,1test,5,21,2,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t26,1,1test,5,26,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t27,1,1test,5,27,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t29,1,1test,5,29,2,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t30,1,1test,5,30,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t32,1,1test,5,32,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t34,1,1test,5,34,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t35,1,1test,5,35,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t36,1,1test,5,36,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t37,1,1test,5,37,1,1
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t41,1,1test,5,41,2,2
cross_session,cross_session_s1,CSP+LDA,s01_1test_r5_t47,1,1test,5,47,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t01,1,1test,0,1,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t02,1,1test,0,2,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t03,1,1test,0,3,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t04,1,1test,0,4,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t05,1,1test,0,5,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t06,1,1test,0,6,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t07,1,1test,0,7,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t09,1,1test,0,9,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t11,1,1test,0,11,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t13,1,1test,0,13,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t14,1,1test,0,14,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t22,1,1test,0,22,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t23,1,1test,0,23,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t24,1,1test,0,24,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t27,1,1test,0,27,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t31,1,1test,0,31,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t32,1,1test,0,32,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t33,1,1test,0,33,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t35,1,1test,0,35,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t36,1,1test,0,36,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t37,1,1test,0,37,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r0_t39,1,1test,0,39,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t03,1,1test,1,3,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t04,1,1test,1,4,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t05,1,1test,1,5,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t06,1,1test,1,6,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t09,1,1test,1,9,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t11,1,1test,1,11,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t12,1,1test,1,12,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t13,1,1test,1,13,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t15,1,1test,1,15,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t16,1,1test,1,16,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t17,1,1test,1,17,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t18,1,1test,1,18,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t20,1,1test,1,20,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t25,1,1test,1,25,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t28,1,1test,1,28,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t31,1,1test,1,31,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t32,1,1test,1,32,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t33,1,1test,1,33,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t39,1,1test,1,39,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t41,1,1test,1,41,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t43,1,1test,1,43,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t46,1,1test,1,46,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r1_t48,1,1test,1,48,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t01,1,1test,2,1,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t02,1,1test,2,2,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t04,1,1test,2,4,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t05,1,1test,2,5,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t07,1,1test,2,7,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t09,1,1test,2,9,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t11,1,1test,2,11,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t14,1,1test,2,14,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t16,1,1test,2,16,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t21,1,1test,2,21,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t23,1,1test,2,23,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t25,1,1test,2,25,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t26,1,1test,2,26,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t28,1,1test,2,28,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t29,1,1test,2,29,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t32,1,1test,2,32,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t36,1,1test,2,36,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t37,1,1test,2,37,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t38,1,1test,2,38,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t40,1,1test,2,40,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t43,1,1test,2,43,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t44,1,1test,2,44,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t45,1,1test,2,45,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r2_t48,1,1test,2,48,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t01,1,1test,3,1,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t03,1,1test,3,3,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t07,1,1test,3,7,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t08,1,1test,3,8,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t10,1,1test,3,10,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t14,1,1test,3,14,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t15,1,1test,3,15,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t17,1,1test,3,17,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t19,1,1test,3,19,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t22,1,1test,3,22,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t25,1,1test,3,25,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t26,1,1test,3,26,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t27,1,1test,3,27,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t30,1,1test,3,30,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t31,1,1test,3,31,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t32,1,1test,3,32,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t34,1,1test,3,34,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t35,1,1test,3,35,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t37,1,1test,3,37,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t38,1,1test,3,38,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t40,1,1test,3,40,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t46,1,1test,3,46,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t47,1,1test,3,47,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r3_t48,1,1test,3,48,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t01,1,1test,4,1,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t02,1,1test,4,2,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t03,1,1test,4,3,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t06,1,1test,4,6,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t09,1,1test,4,9,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t11,1,1test,4,11,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t12,1,1test,4,12,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t13,1,1test,4,13,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t16,1,1test,4,16,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t22,1,1test,4,22,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t23,1,1test,4,23,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t25,1,1test,4,25,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t26,1,1test,4,26,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t27,1,1test,4,27,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t28,1,1test,4,28,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t31,1,1test,4,31,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t33,1,1test,4,33,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t35,1,1test,4,35,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t37,1,1test,4,37,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t39,1,1test,4,39,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t40,1,1test,4,40,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t44,1,1test,4,44,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t45,1,1test,4,45,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r4_t47,1,1test,4,47,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t02,1,1test,5,2,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t04,1,1test,5,4,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t06,1,1test,5,6,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t07,1,1test,5,7,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t10,1,1test,5,10,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t12,1,1test,5,12,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t13,1,1test,5,13,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t14,1,1test,5,14,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t15,1,1test,5,15,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t18,1,1test,5,18,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t19,1,1test,5,19,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t20,1,1test,5,20,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t21,1,1test,5,21,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t26,1,1test,5,26,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t27,1,1test,5,27,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t29,1,1test,5,29,2,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t30,1,1test,5,30,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t32,1,1test,5,32,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t34,1,1test,5,34,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t35,1,1test,5,35,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t36,1,1test,5,36,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t37,1,1test,5,37,1,1
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t41,1,1test,5,41,2,2
cross_session,cross_session_s1,CSP+linearSVM,s01_1test_r5_t47,1,1test,5,47,1,1
